Date,Address,Company,Car Type,"Autonomous engaged (1 = yes, 0 = no)",Time,Weather,Road conditions,Lighting,Unusual Conditions,Stopped/Moving,Other Vehicle,Stopped/moving (Car 2),Damage,Significance,Injury,Expanation,error
5/13/18,"Franklin St and Vallejo St, San Francisco, San Francisco, CA, 94123",Cruise,Chevrolet Bolt 2017,1,0:15,Clear,Dry,Dark-Street lights,No,stopped,,moving,moderate,human made aggressive move clipped av,,sideswipe,non av
6/26/19,"10th Ave and California St, San Francisco, San Francisco, CA, 94118",Cruise,Chevrolet Bolt 2020,1,0:36,Clear,Dry,Dark-Street lights,No,moving,,moving,minor,human unable to react/anticipate av,,rear-end,non av
10/17/19,"Hyde St and Sutter St, San Francisco, San Francisco, CA, 94109",Cruise,Chevrolet Bolt 2020,1,1:05,Fog,Wet,Dark-Street lights,No,stopped,,moving,minor,human made aggressive move clipped av,,rear-end,non av
3/8/19,"16th St and Guerrero St, San Francisco, San Francisco, CA, 94103",Cruise,Chevrolet Bolt 2019,1,1:29,Clear,Dry,Dark-Street lights,No,moving,,moving,minor,human made aggressive move clipped av,,rear-end,non av
3/24/18,"Sutter St and Grant St, San Francisco, San Francisco, CA, 94108",Cruise,Chevrolet Bolt 2017,1,1:54,,,,,moving,,moving,minor,human unable to react/anticipate av,,rear-end,non av
10/7/17,"14th St and Valencia St, San Francisco, San Francisco, CA, 94103",Cruise,Chevrolet Bolt 2017,1,2:35,,,,,moving,,moving,none,human unable to react/anticipate av,,rear-end,non av
3/23/19,"Leavenworth St and Eddy St, San Francisco, San Francisco, CA, 94109",Cruise,Chevrolet Bolt 2019,1,5:28,Clear,Dry,Dark-Street lights,No,moving,,moving,minor,human unable to react/anticipate av,,rear-end,non av
2/14/19,"Gough St and Fell St, San Francisco, San Francisco, CA, 94102",Cruise,Chevrolet Bolt 2019,1,5:30,Raining,Wet,Dark-Street lights,No,moving,,moving,minor,human unable to react/anticipate av,,rear-end,non av
2/27/19,"Gough St and Rose St, San Francisco, San Francisco, CA, 94102",Cruise,Chevrolet Bolt 2019,1,6:04,Clear,Dry,Dark-Street lights,No,moving,,moving,minor,human error,,rear-end,non av
5/15/19,"Shoreline Blvd and El Camino Real, Mountain View, Santa Clara, CA, 94041",Waymo,Chrysler Pacifica 2017,1,6:08,Cloudy,Dry,Daylight,No,stopped,,moving,minor,human unable to react/anticipate av,,rear-end,non av
11/29/18,"Middlefield Rd and Oregon Expwy, Palo Alto, Santa Clara, CA, 94301",Waymo,Chrysler Pacifica 2017,1,6:33,Clear,Wet,Dawn,No,stopped,,moving,minor,human made aggressive move clipped av,,sideswipe,non av
2/26/19,"Miramonte Ave and Covington Rd, Los Altos, Santa Clara, CA, 94024",Waymo,Chrysler Pacifica 2017,1,6:56,Cloudy,Wet,Dawn,No,stopped,,moving,major,human unable to react/anticipate av,,rear-end,non av
5/22/18,"Powell St and Jackson St, San Francisco, San Francisco, CA, 94133",Cruise,Chevrolet Bolt 2017,1,7:27,Cloudy,Dry,Daylight,No,moving,,moving,minor,human unable to react/anticipate av,,rear-end,non av
7/5/18,"Hayes St and Fillmore St, San Francisco, San Francisco, CA, 94117",Cruise,Chevrolet Bolt 2017,1,7:35,Clear,Dry,Daylight,No,moving,,moving,moderate,human unable to react/anticipate av,,rear-end,non av
7/8/18,"Sutter St and Market St, San Francisco, San Francisco, CA, 94104",Cruise,Chevrolet Bolt 2017,1,7:35,Clear,Dry,Daylight,No,stopped,,N/A,minor,drunk pedestrian stand on hood of car,,other,non av
10/12/17,"Bush St and Montgomery St, San Francisco, San Francisco, CA, 94104",Cruise,Chevrolet Bolt 2017,1,7:40,,,,,moving,,moving,minor,human unable to react/anticipate av,,rear-end,non av
10/28/19,"Whisman Station Dr and Central Expway, Mountain View, Santa Clara, CA, 94043",Waymo,Chrysler Pacifica 2017,1,7:43,Clear,Dry,Dawn,No,stopped,,moving,minor,human unable to react/anticipate av,,rear-end,non av
10/16/19,"Distel Dr and El Camino Real, Mountain View, Santa Clara, CA, 94022",Waymo,Chrysler Pacifica 2017,1,7:45,Clear,Dry,Daylight,No,stopped,,moving,minor,human unable to react/anticipate av,,rear-end,non av
8/9/19,"Alma St and Oregon Expwy, Palo Alto, Santa Clara, CA, 94301",Waymo,Chrysler Pacifica 2017,1,7:45,Clear,Dry,Daylight,No,moving,,moving,minor,human unable to react/anticipate av,,rear-end,non av
8/12/19,"S Rengstroff Ave and Crisanto Ave, Mountain View, Santa Clara, CA, 94040",Waymo,Chrysler Pacifica 2017,1,8:15,Clear,Dry,Daylight,No,moving,,moving,minor,human unable to react/anticipate av,,rear-end,non av
8/20/18,"Gretel Lane and Barbara Ave, Mountain View, Santa Clara, 94040",Waymo,Chrysler Pacifica 2017,1,8:18,Clear,Dry,Daylight,No,stopped,,moving,minor,human unable to react/anticipate av,,rear-end,non av
8/14/18,"Ellis St and Pierce St, San Francisco, San Francisco, CA, 94115",Cruise,Chevrolet Bolt 2017,1,8:23,Fog,Dry,Daylight,No,moving,,moving,minor,human error,,sideswipe,non av
2/16/17,"1120 Golden Gate, San Francisco, San Francisco, CA, 94115",Cruise,Chevrolet Bolt 2017,1,8:38,,,,,moving,,moving,minor,human unable to react/anticipate av,,rear-end,non av
6/4/15,"California Ave and Rengstroff Ave, Mountain View, Santa Clara, CA, 94040",Waymo,Lexus ,1,8:54,,,,,stopped,,moving,none,,,rear-end,non av
5/8/18,"Franklin St and Bay St, San Francisco, San Francisco, CA, 94123",Cruise,Chevrolet Bolt 2019,1,8:55,Cloudy,Dry,Daylight,No,stopped,,moving,minor,human made aggressive move clipped av,,sideswipe,non av
6/8/19,"Clay St and Van Ness Ave, San Francisco, San Francisco, CA, 94109",Cruise,Chevrolet Bolt 2019,1,9:02,Clear,Dry,Daylight,Construction Zone,moving,,moving,minor,human error,,rear-end,non av
2/6/19,"Central Expwy and Shoreline Blvd, Mountain View, Santa Clara, CA, 94043",Waymo,Chrysler Pacifica 2017,1,9:08,Cloudy,Dry,Daylight,No,stopped,,moving,minor,human unable to react/anticipate av,,rear-end,non av
12/8/19,"30th Ave and California St, San Francisco, San Francisco, CA, 94121",Cruise,Chevrolet Bolt 2020,1,9:14,Clear,Dry,Daylight,No,stopped,,moving,minor,human unable to react/anticipate av,,rear-end,non av
10/20/17,"Noe St and Henry St, San Francisco, San Francisco, CA, 94114",Cruise,Chevrolet Bolt 2017,1,9:16,,,,,moving,,moving,minor,human made aggressive move clipped av,,sideswipe,non av
12/7/17,"Oak St and Fillmore St, San Francisco, San Francisco, CA, 94117",Cruise,Chevrolet Bolt 2017,1,9:34,,,,,moving,,moving,minor,human made aggressive move clipped av,,sideswipe,non av
8/20/15,"Shoreline Blvd and High School Way, Mountain View, Santa Clara, CA, 94040",Waymo,Lexus,1,9:36,,,,,moving,,moving,moderate,human unable to react/anticipate av,,rear-end,non av
8/7/18,"Gough St and Fell St, San Francisco, San Francisco, CA, 94102",Cruise,Chevrolet Bolt 2017,1,9:36,Clear,Dry,Daylight,No,moving,,moving,minor,human error,,sideswipe,non av
6/11/18,"Bryant St and 11th St, San Francisco, San Francisco, CA, 94103",Cruise,Chevrolet Bolt 2017,1,9:41,Clear,Dry,Daylight,No,moving,,moving,minor,human unable to react/anticipate av,,rear-end,non av
1/18/18,"Pacific Ave and Sansome St, San Francisco, San Francisco, CA, 94111",Zoox,Toyota Highlander 2016,1,9:43,,,,,stopped,,moving,minor,human unable to react/anticipate av,,rear-end,non av
7/2/19,"Steiner St and Bush St, San Francisco, San Francisco, CA, 94115",Cruise,Chevrolet Bolt 2020,1,9:47,Clear,Dry,Daylight,No,stopped,,moving,minor,human unable to react/anticipate av,,rear-end,non av
8/9/19,"N Shorline Blvd and W Middlefield Rd, Mountain View, Santa Clara, CA 94043",Waymo,Chrysler Pacifica 2017,1,9:56,Clear,Dry,Daylight,No,stopped,,moving,minor,human unable to react/anticipate av,,broadside,non av
12/1/18,"Cyril Magnin St and Ellis St, San Francisco, San Francisco, CA, 94102",Cruise,Chevrolet Bolt 2019,1,9:58,Raining,Wet,Daylight,No,moving,,moving,minor,human unable to react/anticipate av,,rear-end,non av
