CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE
"6292944",2017,20171005,3801,20170505,1800,"668","BAYVI","5","5","7","3801","0","0","0","","0","3C11D","PALOU AV","QUINT ST","0","","Y","A","-","N","",,,"","",,"","","","Y","0",0,0,2,"C","-","18",,"","N","C","E","A","A","H","-","A","D","0","","","","","Y","","-","- ",0,0,0,0,0,0,0,0,0,"-","-",,
"6292967",2017,20171025,3801,20170915,0815,"1043","SOUTH","5","5","7","3801","0","0","0","","0","4B1C","BRANNAN ST","DORE ST","0","","Y","A","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","11",21950,"B","N","G","B","E","A","H","-","A","A","0","Y","","","Y","Y","","N","60",0,0,0,1,0,0,0,0,0,"-","-",37.76962,122.40743
"6678218",2017,20180118,3801,20171122,2316,"1871","BAYVI","3","5","7","3801","0","0","0","","0","3C15E","BAYSHORE BL","JAMESTOWN AV","0","","-","A","-","N","",,,"","",,"","","","Y","1",1,0,1,"D","-","00",,"","N","E","I","A","A","H","-","D","D","0","","","","","Y","","-","- ",0,0,0,0,0,0,0,0,0,"-","-",37.71954,122.39941
"6718606",2017,20180216,3801,20171207,0827,"1764","INGLE","4","5","7","3801","0","0","0","","0","4B2E","OCEAN AV","MIRAMAR AV","10","E","N","A","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","10",21950,"A","N","G","B","B","A","H","-","A","A","0","Y","","","","Y","","A","01",0,0,0,1,0,0,0,0,0,"-","-",37.72423,122.45812
"6718699",2017,20180302,3801,20170922,0217,"1324","BAYVI","5","5","7","3801","0","0","0","","0","4C2","JERROLD AV","MILTON I ROSS LN","70","E","N","A","-","N","",,,"","",,"","","","N","1",1,0,2,"A","-","03",22350,"","F","G","B","D","A","H","-","C","D","0","Y","","","","Y","","A","01",0,0,0,1,0,0,0,0,0,"-","-",,
"6718700",2017,20180302,3801,20170926,1248,"1486","TENDE","2","5","7","3801","0","0","0","","0","4B2J","LEAVENWORTH ST","GOLDEN GATE AV","3","S","N","A","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","10",21950,"A","N","G","B","B","A","H","-","-","A","0","Y","","","Y","Y","","F","55",0,0,0,1,0,0,0,0,0,"-","-",37.78185,122.41394
"6718705",2017,20180302,3801,20171031,2013,"1766","TARAV","2","5","7","3801","0","0","0","","0","4B3C","SLOAT BL","36TH AV","4","W","N","A","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","10",21950,"A","N","G","B","C","A","D","-","C","A","0","Y","","","","Y","","A","01",0,0,0,1,0,0,0,0,0,"-","-",37.7341,122.49326
"6718707",2017,20180302,3801,20171109,1219,"319","RICHM","4","5","7","3801","0","0","0","","0","3G13A","7TH AV","CLEMENT ST","350","S","N","A","-","N","",,,"","",,"","","","N","1",1,0,2,"A","-","11",21955,"","N","C","B","D","A","H","-","A","D","0","Y","","","","Y","","N","60",0,0,0,1,0,0,0,0,0,"-","-",,
"6718710",2017,20180308,3801,20171209,1635,"278","TARAV","6","5","7","3801","0","0","0","","0","3I11D","19TH AV","QUINTARA ST","10","S","N","A","-","Y","SF",4,1,"-","-",2.87,"I","5","S","Y","1",1,0,2,"A","-","10",21950,"A","N","G","B","B","A","H","-","A","A","0","Y","","","","Y","","A","01",0,0,0,1,0,0,0,0,0,"-","-",,
"7199916",2017,20170215,3801,20170111,1215,"2127","NORTH","3","5","7","3801","0","0","0","","0","4B1A","UNION ST","BUCHANAN ST","15","E","N","A","-","N","",,,"","",,"","","","N","1",1,0,2,"A","-","10",21950,"A","N","G","B","B","A","H","-","A","D","0","Y","","","","Y","Y","E","22",0,0,0,1,0,0,0,0,0,"-","-",,
"7199954",2017,20170310,3801,20170218,2123,"917","BAYV","6","5","7","3801","0","0","0","","0","4B8E","MIDDLE POINT RD","WEST POINT RD","0","","Y","A","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","03",22350,"","N","A","C","A","A","H","-","E","A","0","","","Y","","Y","","C","02",0,0,0,0,0,0,0,1,0,"-","-",37.73536,122.37928
"7200071",2017,20170511,3801,20170301,1844,"546","INGLE","3","5","7","3801","0","0","0","","0","4B7H","MISSION ST","NEY ST","0","","Y","A","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","10",21950,"A","N","G","B","B","A","H","-","C","D","0","Y","","","","Y","","A","01",0,0,0,1,0,0,0,0,0,"-","-",37.72993,122.42992
"7200147",2017,20180614,3801,20170428,1128,"595","SOUTH","5","5","7","3801","0","0","0","","0","3B13C","MISSION BAY SOUTH BL","3RD ST","0","","Y","A","-","N","",,,"","",,"","","","N","1",1,0,2,"A","-","12",21453,"A","N","D","G","A","A","H","-","A","A","0","","Y","","","Y","","L","04",0,0,0,0,0,1,0,0,0,"-","-",,
"8008468",2017,20170920,3801,20170824,1052,"4006","NORTH","4","5","7","3801","0","0","0","","0","3E14C","BUCHANAN ST","CLAY ST","120","S","N","A","-","N","",,,"","",,"","","","Y","4",0,1,3,"A","-","03",22350,"","N","C","B","E","A","C","-","A","A","0","Y","","","","Y","","A","01",0,0,1,0,1,0,0,0,0,"-","-",,
"8008472",2017,20171114,3801,20170830,1155,"866","MISSI","3","5","7","3801","0","0","0","","0","3D1C","18TH ST","DIAMOND ST","0","","Y","A","-","N","",,,"","",,"","","","Y","4",0,1,2,"A","-","09",21806,"A","F","D","C","A","A","H","-","A","A","0","","","","","Y","","A","01",0,0,1,0,0,0,0,0,0,"-","-",,
"8008545",2017,20171228,3801,20171118,1215,"316","NORTH","6","5","7","3801","0","0","0","","0","","LOMBARD ST","PIERCE ST","200","W","N","A","-","N","",,,"","",,"","","","N","4",0,1,2,"A","-","17",22517,"","N","B","E","A","A","H","-","A","D","0","","","","","Y","","A","01",0,0,1,0,0,0,0,0,0,"-","-",,
"8008553",2017,20180104,3801,20171122,0614,"717","NORTH","3","5","7","3801","0","0","0","","0","2CAR","FULTON ST","WEBSTER ST","0","","Y","A","-","N","",,,"","",,"","","","Y","4",0,2,2,"A","-","08",22107,"","N","D","C","A","A","H","-","B","A","0","","","","Y","Y","","J","48",0,0,2,0,0,0,0,0,0,"-","-",,
"8008802",2017,20170719,3801,20170603,0957,"196","MISSI","6","5","7","3801","0","0","0","","0","3D13A","15TH ST","BRYANT ST","9","S","N","A","-","N","",,,"","",,"","","","Y","0",0,0,1,"A","-","03",22350,"","N","E","I","A","A","H","-","A","D","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-",,
"8008803",2017,20170719,3801,20170603,1423,"235","CENTR","6","5","7","3801","0","0","0","","0","3A11B","JONES ST","CALIFORNIA ST","144","N","N","A","-","N","",,,"","",,"","","","Y","0",0,0,1,"A","-","03",22350,"","N","B","I","A","A","H","-","A","A","0","","","","","Y","","-","- ",0,0,0,0,0,0,0,0,0,"-","-",,
"8008810",2017,20170719,3801,20170615,0003,"2228","TARAV","4","5","7","3801","0","0","0","","0","3I12E","34TH AV","IRVING ST","0","","Y","A","-","N","",,,"","",,"","","","N","0",0,0,2,"A","-","12",22450,"A","M","D","C","A","A","H","-","C","A","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-",,
"8008811",2017,20170719,3801,20170611,1744,"A21167","INGLE","7","5","7","3801","0","0","0","","0","5CAR","ALEMANY BL","FARRAGUT AV","525","E","N","A","-","N","",,,"","",,"","","","N","0",0,0,2,"A","-","03",22350,"","M","C","C","A","A","C","-","A","D","0","","","","","Y","","M","96",0,0,0,0,0,0,0,0,0,"-","-",,
"8008814",2017,20170719,3801,20170606,1339,"4292","BAYVI","2","5","7","3801","0","0","0","","0","3C13B","BAYSHORE BL","JERROLD AV","50","S","N","A","-","N","",,,"","",,"","","","Y","0",0,0,2,"A","-","21",22106,"","N","C","C","A","A","H","-","A","A","0","","","","","Y","","-","",0,0,0,0,0,0,0,0,0,"-","-",,
"8008815",2017,20170719,3801,20170611,0200,"2728","MISSI","7","5","7","3801","0","0","0","","0","3D14E","MISSION ST","PRECITA AV","15","N","N","A","-","N","",,,"","",,"","","","Y","0",0,0,2,"A","-","01",23152,"A","M","C","C","A","A","H","-","C","A","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-",,
"8008819",2017,20170719,3801,20170612,1650,"2111","TARAV","1","5","7","3801","0","0","0","","0","3I12D","IRVING ST","24TH AV","0","","Y","A","-","N","",,,"","",,"","","","N","0",0,0,2,"D","-","00",,"","M","-","E","A","A","H","-","A","D","0","","","","","Y","","-","- ",0,0,0,0,0,0,0,0,0,"-","-",,
"8008822",2017,20170719,3801,20170603,1000,"1469","NORTH","6","5","7","3801","0","0","0","","0","","FRANKLIN ST","WILLOW ST","0","N","-","A","-","N","",,,"","",,"","","","N","0",0,0,2,"A","-","07",21658,"A","N","B","C","A","A","H","-","A","A","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-",,
"8008823",2017,20170719,3801,20170614,1441,"A10467","INGLE","3","5","7","3801","0","0","0","","0","3H74","MISSION ST","CESAR CHAVEZ ST","206","S","N","A","-","N","",,,"","",,"","","","N","0",0,0,2,"A","-","21",22106,"","M","H","E","A","A","H","-","A","D","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-",,
"8008826",2017,20170719,3801,20170613,0040,"987","TARAV","2","5","7","3801","0","0","0","","0","3I1E","CAPITOL AV","LOBOS ST","0","","Y","A","-","N","",,,"","",,"","","","N","0",0,0,2,"A","-","03",22350,"","M","C","-","A","A","H","-","C","D","0","","Y","","","Y","","L","04",0,0,0,0,0,0,0,0,0,"-","-",,
"8008827",2017,20170725,3801,20170603,1300,"724","MISSI","6","5","7","3801","0","0","0","","0","3D13D","MISSION ST","21ST ST","50","S","N","A","-","N","",,,"","",,"","","","N","3",0,1,2,"A","-","17",22517,"","N","D","G","A","A","H","-","A","A","0","","Y","","","Y","","A","01",0,1,0,0,0,0,1,0,0,"-","-",,
"8008830",2017,20170719,3801,20170615,1815,"2097","MISSI","4","5","7","3801","0","0","0","","0","3D13D","S VAN NESS AV","20TH ST","0","","Y","A","-","N","",,,"","",,"","","","Y","0",0,0,2,"A","-","03",22350,"","M","C","C","A","A","H","-","A","A","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-",,
"8008831",2017,20170719,3801,20170615,1025,"979","BAYVI","4","5","7","3801","0","0","0","","0","3C13A","SILVER AV","GIRARD ST","0","","-","A","-","N","",,,"","",,"","","","N","0",0,0,3,"A","-","03",22350,"","M","D","C","A","A","H","-","A","A","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-",,
"8008835",2017,20170719,3801,20170614,1545,"2713","PARK","3","5","7","3801","0","0","0","","0","3F13C","PINE ST","GOUGH ST","0","","Y","A","-","N","",,,"","",,"","","","N","0",0,0,2,"A","-","07",21658,"A","N","B","C","A","A","H","-","A","D","0","","","","","Y","","A","07",0,0,0,0,0,0,0,0,0,"-","-",,
"8008838",2017,20170809,3801,20170616,2500,"738","NORTH","5","5","7","3801","0","0","0","","0","3E15D","WEBSTER ST","VALLEJO ST","106","S","N","A","-","N","",,,"","",,"","","","N","0",0,0,2,"D","-","00",,"","M","C","C","A","A","H","-","A","A","0","","","","","Y","","-","- ",0,0,0,0,0,0,0,0,0,"-","-",,
